X,Y,FID,Route,Station,Latitude,Longitude
-75.1739360959998,39.9054341570001,1,Broad Street Line,NRG,39.905434157,-75.173936096
-75.1713389239999,39.9168149830001,2,Broad Street Line,Oregon,39.916814983,-75.171338924
-75.1696808419999,39.9243859650002,3,Broad Street Line,Snyder,39.924385965,-75.169680842
-75.168500531,39.9298479040001,4,Broad Street Line,Tasker-Morris,39.929847904,-75.168500531
-75.1671294109999,39.9361940890002,5,Broad Street Line,Ellsworth-Federal,39.936194089,-75.167129411
-75.1654018919999,39.944085977,6,Broad Street Line,Lombard-South,39.944085977,-75.165401892
-75.1643826219999,39.9487989180001,7,Broad Street Line,Walnut-Locust,39.948798918,-75.164382622
-75.1635938719999,39.9523889710001,8,Broad Street Line,City Hall,39.952388971,-75.163593872
-75.1626007569999,39.9570109460001,9,Broad Street Line,Race-Vine,39.957010946,-75.162600757
-75.1614313729998,39.9624360820001,10,Broad Street Line,Spring Garden,39.962436082,-75.161431373
-75.1604584669998,39.9669814850001,11,Broad Street Line,Fairmount,39.966981485,-75.160458467
-75.1594420819999,39.971468019,12,Broad Street Line,Girard,39.971468019,-75.159442082
-75.1578806549999,39.9786779240002,13,Broad Street Line,Cecil B. Moore,39.978677924,-75.157880655
-75.1560369779999,39.9870669950002,14,Broad Street Line,Susquehanna-Dauphin,39.987066995,-75.156036978
-75.1545129349999,39.9941099860002,15,Broad Street Line,North Philadelphia,39.994109986,-75.154512935
-75.152877826,40.0015969640001,16,Broad Street Line,Allegheny,40.001596964,-75.152877826
-75.1512090699999,40.0092470150002,17,Broad Street Line,Erie,40.009247015,-75.15120907
-75.1492917639999,40.0180239460001,18,Broad Street Line,Hunting Park,40.018023946,-75.149291764
-75.1478700819999,40.0245610170001,19,Broad Street Line,Wyoming,40.024561017,-75.147870082
-75.1466920889999,40.0299100210001,20,Broad Street Line,Logan,40.029910021,-75.146692089
-75.1446922629999,40.0390560580001,21,Broad Street Line,Olney,40.039056058,-75.144692263
-75.1367940639998,40.041851535,22,Broad Street Line,Fern Rock Transportation Center,40.041851535,-75.136794064
-75.1530990209999,39.9553839860002,23,Broad Street Line,Chinatown,39.955383986,-75.153099021
-75.1537529459999,39.9511494280001,24,Broad Street Line,8th,39.951149428,-75.153752946
-75.2597269919999,39.9626051900001,25,Market-Frankford Line,69th Street Transportation Center,39.96260519,-75.259726992
-75.2524089279999,39.9644274300001,26,Market-Frankford Line,Millbourne,39.96442743,-75.252408928
-75.2467560059999,39.9627079500001,27,Market-Frankford Line,63rd,39.96270795,-75.246756006
-75.2407289499999,39.9619664050001,28,Market-Frankford Line,60th,39.961966405,-75.24072895
-75.2328399389999,39.9609925100001,29,Market-Frankford Line,56th,39.96099251,-75.232839939
-75.2248770239999,39.96000481,30,Market-Frankford Line,52nd,39.96000481,-75.224877024
-75.2140089719999,39.9586522340001,31,Market-Frankford Line,46th,39.958652234,-75.214008972
-75.201955961,39.9571563100001,32,Market-Frankford Line,40th,39.95715631,-75.201955961
-75.191462021,39.9558438310002,33,Market-Frankford Line,34th,39.955843831,-75.191462021
-75.1832770309999,39.954836736,34,Market-Frankford Line,30th,39.954836736,-75.183277031
-75.1652559719999,39.9525812270002,35,Market-Frankford Line,15th,39.952581227,-75.165255972
-75.1614519459999,39.9521034320002,36,Market-Frankford Line,13th,39.952103432,-75.161451946
-75.1583160129999,39.9517158950002,37,Market-Frankford Line,11th,39.951715895,-75.158316013
-75.1535770639999,39.9511274860001,38,Market-Frankford Line,8th,39.951127486,-75.153577064
-75.1489050459999,39.9505536450001,39,Market-Frankford Line,5th,39.950553645,-75.148905046
-75.1437550459999,39.949888644,40,Market-Frankford Line,2nd,39.949888644,-75.143755046
-75.1404094189999,39.9604951500001,41,Market-Frankford Line,Spring Garden,39.96049515,-75.140409419
-75.1362408479999,39.9689102460001,42,Market-Frankford Line,Girard,39.968910246,-75.136240848
-75.1335530579999,39.9786609190001,43,Market-Frankford Line,Berks,39.978660919,-75.133553058
