RegionID,RegionName,SizeRank,MsaName,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01
61639,10025,1,"New York, NY",2766,2695,2775,2798,2789,2796,2842,2865,2845,2877,2870,2911,2926,2917,2914,2914,2934,2955,2965,2965,2974,2980,2966,2964,2985,2970,2991,2991,2995,3015,2956,2995,3026,2991,2969,2954,2960,2946,2910,2955,3017,3020,3027,3035,3006,2972,2958,2992,2948,2942,2929,2982,3016,3024,3040,3035,3020,3020,3018,3037,3044,3031,3034,3045,3067,3101,3122,3145,3137,3077,3100,3085,3096,3120,3074,3083,3048,2986,2930,2825,2716,2676,2641,2609,2636,2625,2691,2750,2828,2890,2971,3039,3061,3117,3154,3194,3221
84654,60657,2,"Chicago, IL",1219,1246,1246,1253,1267,1297,1298,1298,1287,1277,1273,1275,1274,1284,1278,1302,1324,1341,1347,1355,1330,1319,1314,1320,1312,1326,1344,1359,1373,1385,1391,1394,1382,1361,1347,1345,1358,1375,1391,1397,1404,1414,1419,1410,1399,1383,1375,1367,1377,1390,1402,1415,1426,1432,1431,1414,1406,1380,1365,1361,1387,1400,1417,1436,1446,1454,1462,1447,1446,1426,1417,1408,1441,1453,1460,1463,1457,1450,1442,1436,1403,1371,1370,1381,1395,1409,1411,1413,1428,1434,1439,1457,1454,1449,1463,1468,1497
61637,10023,3,"New York, NY",3319,3338,3381,3370,3390,3453,3442,3449,3449,3426,3497,3450,3430,3454,3491,3458,3477,3505,3504,3529,3539,3543,3543,3519,3491,3527,3544,3550,3562,3558,3381,3456,3492,3524,3465,3463,3443,3497,3503,3561,3559,3579,3576,3555,3528,3524,3498,3461,3483,3499,3521,3549,3577,3575,3546,3570,3583,3567,3537,3508,3504,3518,3535,3585,3616,3652,3659,3651,3662,3582,3533,3567,3613,3641,3654,3632,3580,3528,3448,3299,3254,3169,3071,3029,3050,3104,3148,3229,3287,3388,3495,3583,3711,3812,3807,3890,3941
91982,77494,4,"Houston, TX",1378,1439,1445,1453,1428,1416,1420,1414,1412,1392,1391,1383,1389,1382,1386,1395,1398,1405,1411,1422,1404,1391,1387,1371,1366,1360,1362,1360,1358,1365,1357,1356,1344,1334,1307,1306,1313,1324,1329,1344,1347,1351,1342,1331,1343,1353,1360,1365,1375,1376,1370,1374,1375,1379,1376,1371,1357,1363,1365,1371,1372,1374,1380,1384,1384,1391,1396,1407,1387,1395,1393,1400,1395,1401,1399,1407,1393,1395,1404,1407,1418,1412,1429,1427,1421,1422,1424,1450,1480,1545,1588,1609,1613,1636,1658,1652,1637
84616,60614,5,"Chicago, IL",1596,1621,1632,1644,1665,1681,1701,1699,1681,1670,1674,1646,1646,1659,1646,1693,1724,1751,1763,1776,1759,1757,1725,1704,1734,1756,1765,1779,1812,1833,1834,1832,1822,1779,1759,1753,1751,1787,1805,1833,1847,1851,1849,1854,1844,1808,1795,1793,1803,1832,1860,1857,1874,1882,1881,1872,1851,1813,1802,1809,1841,1866,1880,1901,1920,1921,1920,1924,1917,1899,1875,1893,1886,1910,1931,1954,1947,1931,1921,1897,1854,1804,1738,1719,1756,1806,1847,1896,1920,1940,1943,1980,1953,1968,1982,1969,1987
91940,77449,6,"Houston, TX",1192,1188,1190,1183,1191,1204,1216,1225,1222,1224,1235,1238,1224,1227,1231,1242,1244,1258,1267,1270,1270,1270,1271,1270,1261,1262,1273,1276,1281,1273,1271,1275,1272,1274,1267,1257,1255,1260,1266,1270,1273,1270,1280,1280,1290,1292,1298,1299,1305,1309,1311,1319,1324,1330,1336,1337,1329,1331,1338,1327,1320,1326,1329,1333,1342,1346,1352,1348,1349,1347,1345,1344,1351,1351,1363,1369,1350,1367,1374,1382,1392,1398,1407,1425,1427,1445,1461,1482,1513,1548,1585,1615,1630,1637,1639,1657,1649
61616,10002,7,"New York, NY",2757,2658,2720,2744,2787,2792,2841,2853,2859,2837,2848,2920,2903,2872,2889,2960,2961,2957,2989,3006,2995,2974,2929,2938,2930,2946,2967,2978,2998,3040,3064,3069,3055,3070,3030,3062,3008,3040,3038,3036,3058,3067,3073,3081,3060,3025,2991,2982,3015,3040,3059,3091,3104,3118,3145,3148,3128,3112,3081,3079,3069,3086,3099,3131,3160,3186,3204,3225,3245,3225,3163,3181,3184,3224,3238,3226,3169,3095,3016,2891,2760,2653,2601,2576,2566,2592,2641,2746,2864,2950,3102,3199,3272,3305,3395,3372,3452
91733,77084,8,"Houston, TX",1034,1107,1110,1097,1113,1134,1102,1129,1146,1148,1159,1148,1145,1151,1163,1167,1162,1170,1173,1181,1190,1182,1190,1187,1182,1186,1183,1185,1186,1181,1186,1194,1183,1181,1182,1179,1179,1173,1183,1190,1193,1195,1200,1199,1226,1236,1235,1225,1225,1225,1215,1233,1235,1238,1237,1243,1270,1254,1262,1255,1248,1234,1258,1265,1279,1274,1278,1277,1266,1269,1264,1274,1267,1287,1292,1297,1298,1302,1299,1304,1312,1293,1304,1314,1320,1327,1341,1352,1374,1407,1454,1478,1502,1493,1516,1549,1531
93144,79936,9,"El Paso, TX",1031,1017,1023,1034,1029,1027,978,1000,1011,1013,1010,1020,1019,1021,1025,1025,1035,1030,1021,1023,1029,1029,1027,1023,1022,1039,1033,1034,1031,1030,1024,1042,1028,1029,1056,1114,1106,1064,1046,1039,1039,1038,1043,1038,1040,1037,1038,1040,1034,1032,1030,1035,1042,1049,1051,1052,1057,1029,1046,1063,1058,1036,1049,1058,1068,1070,1051,1075,1081,1089,1083,1093,1099,1103,1095,1104,1103,1108,1120,1138,1134,1152,1154,1160,1157,1168,1175,1188,1200,1194,1224,1239,1260,1305,1305,1315,1319
84640,60640,10,"Chicago, IL",1242,1255,1243,1240,1249,1256,1264,1272,1266,1261,1256,1271,1261,1262,1243,1267,1284,1301,1321,1331,1329,1316,1316,1322,1319,1310,1317,1335,1338,1351,1363,1378,1374,1365,1346,1350,1341,1345,1368,1375,1386,1395,1396,1395,1388,1378,1372,1366,1368,1371,1395,1404,1407,1419,1419,1412,1432,1414,1413,1407,1407,1413,1421,1433,1438,1447,1458,1454,1459,1441,1440,1433,1433,1452,1436,1443,1457,1455,1438,1441,1428,1407,1417,1404,1397,1373,1390,1404,1419,1442,1439,1452,1457,1502,1472,1473,1484
62037,11226,11,"New York, NY",1777,1759,1757,1730,1730,1729,1786,1789,1744,1754,1781,1728,1752,1794,1839,1850,1861,1873,1882,1879,1930,1958,1921,1903,1934,1936,1930,1942,1976,2009,2032,2034,2018,1991,2018,2009,2005,2000,2015,2009,2025,2018,2049,2051,2047,2006,1999,2003,1993,2012,2024,2060,2078,2088,2103,2121,2112,2086,2089,2073,2063,2056,2094,2081,2118,2121,2131,2147,2144,2130,2108,2106,2123,2105,2180,2148,2150,2147,2133,2101,2066,2037,2007,1970,1954,1967,1980,2001,2025,2045,2095,2103,2133,2118,2117,2123,2149
92593,78660,13,"Austin, TX",1209,1235,1213,1227,1231,1234,1239,1247,1255,1247,1247,1242,1262,1273,1257,1251,1281,1296,1311,1318,1320,1310,1316,1319,1325,1317,1330,1337,1346,1362,1369,1364,1356,1374,1370,1346,1343,1347,1355,1370,1365,1376,1370,1375,1378,1385,1380,1375,1367,1382,1384,1391,1400,1411,1409,1414,1419,1417,1428,1425,1421,1417,1420,1427,1435,1441,1452,1458,1461,1459,1454,1466,1465,1471,1482,1478,1446,1454,1472,1510,1498,1496,1488,1499,1502,1481,1508,1529,1587,1700,1753,1807,1797,1821,1836,1825,1824
97564,94109,14,"San Francisco, CA",2425,2390,2517,2456,2527,2643,2636,2732,2803,2861,2947,2867,2924,2966,3098,3012,3052,3116,3178,3261,3246,3231,3245,3227,3272,3257,3185,3165,3180,3159,3166,3144,3086,3045,3016,2968,3009,3108,3087,3079,3105,3104,3149,3118,3172,3116,3083,3110,3119,3078,3097,3142,3119,3117,3148,3162,3184,3181,3160,3152,3173,3169,3186,3211,3222,3249,3280,3269,3259,3218,3183,3203,3198,3204,3224,3159,3133,3093,3023,2926,2805,2775,2728,2657,2658,2611,2635,2710,2728,2772,2817,2845,2876,2868,2929,2907,2892
61630,10016,16,"New York, NY",3432,3339,3412,3422,3464,3459,3497,3525,3541,3521,3522,3511,3539,3531,3568,3598,3628,3666,3667,3664,3670,3677,3644,3611,3626,3624,3618,3642,3670,3689,3644,3672,3677,3659,3600,3567,3572,3574,3597,3631,3652,3651,3682,3682,3664,3666,3598,3566,3580,3579,3601,3615,3665,3698,3720,3740,3738,3728,3703,3675,3650,3697,3718,3745,3765,3809,3827,3826,3824,3805,3779,3748,3763,3782,3778,3741,3702,3645,3579,3423,3303,3197,3064,3035,3048,3063,3135,3230,3343,3493,3637,3784,3915,3972,4011,4082,4160
74101,37013,17,"Nashville, TN",1060,1065,1057,1073,1088,1101,1109,1130,1137,1138,1145,1139,1114,1121,1151,1155,1158,1178,1189,1219,1229,1210,1221,1228,1205,1209,1223,1241,1259,1263,1265,1270,1260,1285,1272,1272,1282,1282,1276,1293,1321,1325,1330,1328,1322,1322,1326,1316,1317,1332,1349,1370,1376,1359,1358,1374,1373,1363,1354,1355,1367,1428,1410,1403,1398,1402,1409,1428,1425,1422,1428,1426,1434,1404,1432,1461,1474,1471,1484,1507,1512,1512,1533,1529,1514,1530,1533,1551,1578,1594,1641,1681,1685,1720,1729,1702,1759
84646,60647,19,"Chicago, IL",1406,1368,1396,1402,1420,1430,1440,1464,1455,1440,1418,1457,1438,1456,1421,1470,1504,1514,1530,1549,1526,1515,1506,1500,1529,1546,1554,1573,1587,1598,1607,1597,1574,1553,1534,1534,1550,1565,1587,1604,1622,1634,1633,1624,1614,1612,1603,1570,1577,1601,1627,1647,1661,1678,1681,1689,1659,1634,1627,1632,1667,1670,1687,1707,1714,1717,1727,1720,1729,1722,1709,1707,1706,1729,1745,1727,1732,1725,1715,1685,1669,1635,1622,1662,1682,1687,1693,1693,1705,1716,1712,1734,1718,1728,1768,1780,1781
62012,11201,20,"New York, NY",2951,3053,3030,3008,3024,3034,3055,3087,3084,3097,3092,3063,3065,3093,3093,3088,3119,3124,3152,3181,3188,3203,3161,3161,3170,3157,3185,3170,3182,3223,3202,3226,3215,3254,3219,3170,3139,3155,3176,3215,3216,3224,3257,3269,3256,3231,3176,3147,3174,3172,3201,3235,3251,3284,3304,3328,3338,3325,3325,3314,3315,3351,3351,3364,3399,3406,3446,3447,3453,3425,3405,3407,3447,3476,3490,3461,3394,3354,3294,3201,3123,3071,3063,3070,3094,3135,3186,3228,3303,3395,3482,3535,3566,3628,3650,3704,3744
62087,11375,22,"New York, NY",1647,1587,1645,1657,1670,1698,1693,1723,1757,1773,1750,1761,1762,1774,1774,1759,1761,1797,1828,1838,1868,1902,1892,1867,1853,1868,1858,1890,1909,1908,1925,1878,1915,1908,1917,1945,1936,1921,1941,1921,1916,1906,1925,1931,1935,1931,1917,1922,1918,1940,1966,1964,1948,1941,1944,1944,1941,1962,1956,1964,2009,1986,1989,1975,1991,2023,2052,2020,2034,2059,2055,2024,2033,2049,2065,2038,2027,2015,2041,2020,2000,1956,1933,1933,1901,1966,1945,1953,1967,1969,1985,1994,1996,1990,2037,1997,1964
96107,90250,23,"Los Angeles-Long Beach-Anaheim, CA",1054,1080,1075,1089,1103,1082,1076,1088,1094,1105,1103,1102,1103,1124,1140,1140,1139,1136,1170,1175,1178,1201,1221,1201,1219,1228,1249,1249,1247,1265,1294,1314,1325,1329,1338,1346,1368,1374,1385,1399,1424,1421,1435,1444,1449,1431,1454,1457,1462,1467,1483,1480,1499,1514,1535,1544,1541,1541,1544,1539,1556,1563,1576,1595,1602,1596,1604,1611,1634,1628,1627,1646,1624,1640,1644,1645,1638,1653,1667,1670,1668,1675,1693,1704,1674,1699,1704,1699,1730,1703,1741,1747,1759,1803,1793,1885,1853
