Auction ID,Status,Minimum Bid,Bidding Close Date/Time,Bidding Open Date/Time,Attorney,Book/Writ,OPA,Address,County,Sale Type
1015026,Preview,$1.00,10/8/2021 1:00 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6001,131358000,"2024 ROWAN ST,  19140-1735",Philadelphia,Linebarger
1015033,Preview,$1.00,10/8/2021 1:00 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6007,041071700,"5550 HARMER ST,  19131-4835",Philadelphia,Linebarger
1015039,Preview,$1.00,10/8/2021 1:00 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6013,172406000,"6142 N WOODSTOCK ST,  19138-2439",Philadelphia,Linebarger
1015045,Preview,$1.00,10/8/2021 1:00 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6019,062318200,"946 N 43RD ST,  19104-1266",Philadelphia,Linebarger
1015028,Preview,$1.00,10/8/2021 1:10 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6002,122174000,"5556 MORTON ST,  19144-1328",Philadelphia,Linebarger
1015034,Preview,$1.00,10/8/2021 1:10 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6008,604266000,"234 S ALDEN ST,  19139-3818",Philadelphia,Linebarger
1015040,Preview,$1.00,10/8/2021 1:10 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6014,131282300,"3803 ARCHER ST,  19140-3515",Philadelphia,Linebarger
1015046,Preview,$1.00,10/8/2021 1:10 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6020,442046700,"4828 WESTMINSTER AVE,  19131-5124",Philadelphia,Linebarger
1015029,Preview,$1.00,10/8/2021 1:20 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6003,593022700,"224 W RITTENHOUSE ST,  19144-3339",Philadelphia,Linebarger
1015035,Preview,$1.00,10/8/2021 1:20 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6009,441308900,"5107 RENO ST,  19139-1537",Philadelphia,Linebarger
1015041,Preview,$1.00,10/8/2021 1:20 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6015,514276900,"5517 SAYBROOK AVE,  19143-5710",Philadelphia,Linebarger
1015030,Preview,$1.00,10/8/2021 1:30 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6004,193119000,"3333 N ORKNEY ST,  19140-5625",Philadelphia,Linebarger
1015036,Preview,$1.00,10/8/2021 1:30 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6010,193235000,"247 W THAYER ST,  19140-5737",Philadelphia,Linebarger
1015042,Preview,$1.00,10/8/2021 1:30 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6016,071089300,"2800 WATERLOO ST,  19133-4118",Philadelphia,Linebarger
1015031,Preview,$1.00,10/8/2021 1:40 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6005,041323000,"1420 N VOGDES ST,  19131-3915",Philadelphia,Linebarger
1015037,Preview,$1.00,10/8/2021 1:40 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6011,193123500,"3358 N ORKNEY ST,  19140-5626",Philadelphia,Linebarger
1015043,Preview,$1.00,10/8/2021 1:40 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6017,491213400,"4804 N 7TH ST,  19120-3726",Philadelphia,Linebarger
1015032,Preview,$1.00,10/8/2021 1:50 PM,10/8/2021 10:00 AM,"LINEBARGER GOGGAN BLAIR & SAMPSON, LLP",2110-6006,042256600,"327 N SALFORD ST,  19139-1229",Philadelphia,Linebarger
